# stan_version_major = 2
# stan_version_minor = 0
# stan_version_patch = 1
# model = chebyshev_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.65000000000000002 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = chebyshev.dataset.R
# init = 2 (Default)
# random
#   seed = 2673561448
# output
#   file = samples.csv (Default)
#   append_sample = 0 (Default)
#   diagnostic_file =  (Default)
#   append_diagnostic = 0 (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,coefs.1,coefs.2,coefs.3,coefs.4,coefs.5,coefs.6,coefs.7,coefs.8,coefs.9,coefs.10,coefs.11,coefs.12,coefs.13,coefs.14,coefs.15,coefs.16,coefs.17,coefs.18,coefs.19,coefs.20
# Adaptation terminated
# Step size = 0.79426
# Diagonal elements of inverse mass matrix:
# 0.137798, 0.0785077, 0.0772137, 0.0785645, 0.0952407, 0.0815197, 0.0742528, 0.0822607, 0.0792669, 0.093631, 0.0932868, 0.097407, 0.100388, 0.0869111, 0.099586, 0.0844145, 0.0894394, 0.0929967, 0.0888321, 0.0804048
-20.812,0.689972,0.79426,1,0.630902,-0.208673,1.04176,0.0678479,-0.17123,0.379562,-0.823512,-0.182858,-0.07675,-0.124893,-0.0893178,0.0207669,0.27651,-0.355332,-0.173756,-0.252194,0.126985,0.117114,0.525232,0.369528
-20.5123,0.933741,0.79426,2,1.28952,0.361372,0.0429168,0.0756933,0.454429,-0.164302,0.978549,0.359496,0.223858,0.314735,0.291595,0.17356,-0.0190457,0.546178,0.318655,0.43401,0.0673757,0.112841,-0.365815,-0.189841
-16.8757,1,0.79426,1,0.563566,0.266542,1.0011,0.108129,-0.140129,0.483113,-0.379209,-0.322553,0.412078,-0.229327,-0.125542,0.0114438,0.29505,-0.24481,-0.166131,-0.12958,0.12539,-0.194663,0.177578,0.0843536
-15.8147,0.986026,0.79426,2,1.0793,0.625149,1.00752,0.267953,-0.0470584,0.253159,0.0764248,0.486995,-0.0366476,0.340993,-0.224278,0.128444,0.196692,0.386591,-0.247926,0.181951,-0.231181,0.138746,-0.243393,-0.0182594
-15.8147,0.573263,0.79426,1,1.0793,0.625149,1.00752,0.267953,-0.0470584,0.253159,0.0764248,0.486995,-0.0366476,0.340993,-0.224278,0.128444,0.196692,0.386591,-0.247926,0.181951,-0.231181,0.138746,-0.243393,-0.0182594
-14.8632,0.988756,0.79426,1,0.969115,0.0237783,0.0935132,0.0951763,0.382314,-0.286676,0.281641,-0.238368,-0.137398,-0.155746,0.517411,0.324085,0.229736,0.0904196,0.428366,-0.0823723,0.241916,-0.0460711,0.314418,0.183671
-15.158,0.743195,0.79426,2,1.05536,0.178158,0.991363,0.106488,-0.165994,0.484507,-0.194079,0.427394,0.284481,0.234138,-0.435481,-0.106218,-0.129663,0.0785855,-0.196737,0.264184,-0.0547195,0.251948,-0.102973,0.0293463
-15.158,0.429192,0.79426,1,1.05536,0.178158,0.991363,0.106488,-0.165994,0.484507,-0.194079,0.427394,0.284481,0.234138,-0.435481,-0.106218,-0.129663,0.0785855,-0.196737,0.264184,-0.0547195,0.251948,-0.102973,0.0293463
-14.5393,1,0.79426,1,0.944757,0.0016107,0.685953,0.4062,-0.158667,0.50283,-0.363611,0.61751,0.105871,0.204988,-0.217149,0.170711,-0.0190259,-0.0242366,-0.0399524,0.179053,0.264855,0.271098,0.0186572,-0.149706
-19.8807,0.695093,0.79426,1,1.19325,-0.635264,0.580557,-0.135248,0.253047,0.767151,-0.338388,0.346215,0.469326,0.00306938,0.453859,-0.224587,-0.27898,0.282978,0.0866843,-0.106763,0.409422,-0.0304633,-0.0753329,0.276536
-19.7903,0.736584,0.79426,2,0.8943,0.874467,0.496894,0.339475,-0.029138,-0.52772,0.469367,-0.156973,-0.270777,0.27654,-0.204541,0.55311,0.350186,-0.107912,0.000235238,0.288579,-0.230897,0.23785,0.230454,-0.106876
-25.3444,0.492593,0.79426,1,0.203275,-0.111038,0.558831,0.577486,0.6375,-0.0593448,-0.00313511,0.13309,0.0752926,0.0951985,-0.431005,0.513887,-0.0860639,0.550179,-0.00728547,-0.814797,-0.133918,-0.584168,-0.193445,-0.0907268
-20.3575,1,0.79426,1,0.284507,-0.177625,0.874863,0.490255,0.182025,-0.232699,0.200352,-0.00192313,-0.316638,0.00202162,-0.0492692,0.528618,0.12013,0.235756,0.0851316,-0.733883,-0.318706,-0.21898,-0.129124,0.292227
-17.4778,1,0.79426,1,0.495602,0.102294,0.929226,0.296352,0.105724,0.0461541,0.26744,0.391008,-0.441993,0.242815,-0.0497046,0.235161,-0.0906515,-0.166961,0.0858919,-0.322786,-0.381082,-0.0493333,-0.334273,0.510664
-22.3185,0.387176,0.79426,1,0.778935,0.218343,0.477508,0.45385,-0.0574704,0.00637975,0.333822,-0.0136789,-0.332635,0.449397,-0.143081,-0.226245,0.051517,-0.110143,-0.297019,0.220084,-0.752383,-0.348819,-0.67401,0.421536
-17.0281,1,0.79426,1,0.740259,-0.0146971,0.623836,-0.0470983,0.201366,0.171426,0.32332,0.174102,0.190274,0.0127021,0.533565,0.335101,0.0873231,0.492218,0.217761,0.174903,0.712014,0.317473,0.652053,-0.385781
-17.3975,0.914778,0.79426,1,1.61421,-0.142105,0.112694,0.22678,0.0547791,-0.197986,-0.140011,-0.167525,-0.235485,0.297498,0.0992989,-0.121445,0.237638,-0.146646,-0.0380925,-0.17769,-0.383751,-0.440634,-0.120889,0.356248
-20.5084,0.519237,0.79426,1,1.6818,0.205561,0.404876,0.466336,-0.0710352,-0.166197,0.22752,0.545904,0.669819,-0.0416136,0.380567,-0.267306,0.385045,-0.0684072,0.356473,0.0361643,0.0480539,-0.519908,-0.155269,0.628728
-19.0399,1,0.79426,1,0.713388,0.122248,0.94088,0.0734518,0.637148,0.198226,0.18666,0.943378,0.384581,0.211738,0.169004,0.206976,0.0044314,0.442889,0.317619,-0.127356,0.154653,0.516558,-0.244848,-0.146825
-17.7851,1,0.79426,1,0.942418,0.108891,0.305347,0.180803,-0.698987,0.1705,0.0678909,-0.643216,0.159925,-0.0174686,0.113123,0.318485,0.422581,-0.18969,-0.221333,0.293871,0.226315,-0.103149,0.204875,0.241192
-19.2199,0.968926,0.79426,1,0.216953,-0.167894,0.175624,-0.0608039,0.150269,0.501107,0.552282,0.211688,0.203504,0.641668,0.0727125,0.0634373,-0.0217337,0.141093,0.384548,-0.473645,0.210413,0.483295,-0.143133,0.346894
-17.1718,0.330495,0.79426,1,0.971147,0.255341,0.632271,-0.0426074,0.230031,0.641532,0.221432,0.385574,0.770943,0.286083,-0.186219,0.401408,-0.110794,-0.274512,0.0784518,0.0822844,0.242887,0.599871,0.0287123,0.111426
-20.2588,0.667297,0.79426,1,0.571249,0.174727,0.484886,-0.304663,0.0553474,0.412302,0.109631,0.236517,0.504803,0.770237,-0.141834,0.402311,-0.45889,-0.299615,0.454833,0.17178,0.417069,0.53856,-0.0921067,-0.161338
-24.1364,0.421767,0.79426,1,1.03457,-0.436707,0.669824,0.354223,0.237399,-0.432911,-0.168163,-0.1401,-0.592206,-0.765759,-0.220032,-0.053684,0.54449,0.396115,-0.122902,0.414326,-0.113875,0.507279,0.296235,0.3652
-18.4724,1,0.79426,1,0.806716,0.240461,0.773168,0.37929,0.364596,-0.37465,0.381003,-0.305066,0.405943,0.400392,-0.32747,-0.0824943,0.239975,0.0671407,0.566824,-0.0376041,-0.180408,0.377207,-0.472553,0.122305
-13.6265,1,0.79426,1,0.772338,-0.0459019,0.912751,0.186844,0.238815,0.0436728,0.424751,-0.297799,0.206408,-0.0338801,-0.114798,-0.185074,0.206034,-0.152532,0.189183,-0.0703733,-0.0511539,0.538897,-0.0287025,0.0630829
-16.4535,0.811627,0.79426,2,1.29969,-0.145199,0.279971,-0.162136,0.00188834,-0.112242,-0.0838233,0.481172,0.178542,0.364883,0.299291,0.499247,-0.181667,0.596892,-0.0569328,0.0585445,-0.00475434,-0.365271,0.41982,-0.110184
-14.9033,1,0.79426,1,0.695185,0.338765,0.456568,-0.19201,0.143696,-0.235588,-0.192529,-0.48408,0.168427,-0.0189376,0.37453,0.237137,-0.180947,0.216806,0.0670265,-0.136996,-0.0468825,0.290085,-0.306136,0.0402483
-15.5748,0.547715,0.79426,1,0.786067,0.663278,0.275205,-0.272383,0.253049,-0.0877212,0.0173406,-0.29842,0.0937399,-0.319808,-0.121356,0.220472,0.35669,0.356496,0.337298,-0.192713,0.147837,-0.0721299,0.00118737,0.0918464
-14.6782,1,0.79426,1,1.23969,0.26395,0.904921,0.181712,0.244764,-0.130982,-0.219497,0.166932,0.305081,0.00318325,0.18864,-0.158038,-0.15102,-0.103229,0.762458,0.113258,0.146717,0.415855,0.053136,0.0292956
-17.7722,0.512405,0.79426,1,1.74896,-0.298366,0.477238,0.0203631,0.0443768,0.358266,0.346043,-0.438583,-0.281909,0.210629,0.428066,0.511157,0.148379,0.262882,-0.281608,0.15503,0.310843,-0.0457924,0.164958,0.47157
-19.4264,0.425819,0.79426,1,0.926789,0.442302,0.307023,0.119292,0.365943,0.186498,0.209902,0.391891,0.217012,-0.611741,0.0610942,-0.470433,0.429948,-0.155135,0.756899,0.304401,0.109434,0.333841,-0.134741,-0.132081
-16.7959,1,0.79426,2,0.542416,0.171019,0.552265,0.0571173,0.00885243,-0.0980343,0.138424,0.471317,0.527403,-0.167848,0.0306417,-0.0442529,-0.276085,0.312745,-0.115174,0.186181,-0.697346,0.15888,-0.192336,0.206267
-21.6703,0.469099,0.79426,1,0.371292,-0.299806,0.644017,-0.128767,-0.65895,-0.163869,0.22763,0.374013,0.37401,0.161768,-0.186181,-0.508553,0.796796,0.291206,0.0202285,0.45864,0.247807,0.109626,-0.135506,0.0328191
-19.4684,0.989466,0.79426,1,1.41897,0.210107,0.560745,0.158846,0.813336,0.250578,0.371209,0.125535,-0.307191,0.160503,0.330489,0.670151,-0.515951,0.00990911,0.29136,-0.199504,-0.00523358,-0.140783,0.0648598,0.503541
-20.4961,0.809259,0.79426,1,0.867427,0.52522,0.428747,0.0740128,0.842389,0.290822,0.0962577,-0.069007,0.0610793,-0.337067,-0.0926279,0.787888,-0.331085,-0.2956,-0.0678861,0.0307345,0.165294,0.28762,-0.163014,0.546276
-20.0496,1,0.79426,1,1.26091,0.166356,0.465322,0.133538,-0.482208,0.189871,-0.391615,-0.00195171,0.276795,0.400994,0.160599,0.901602,0.00361429,-0.340623,0.0637738,-0.152605,0.00761078,-0.1479,0.467238,-0.413163
