# stan_version_major = 2
# stan_version_minor = 0
# stan_version_patch = 1
# model = chebyshev_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.65000000000000002 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = chebyshev.dataset.R
# init = 2 (Default)
# random
#   seed = 12345
# output
#   file = samples3.csv
#   append_sample = 0 (Default)
#   diagnostic_file =  (Default)
#   append_diagnostic = 0 (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,coefs.1,coefs.2,coefs.3,coefs.4,coefs.5,coefs.6,coefs.7,coefs.8,coefs.9,coefs.10,coefs.11,coefs.12,coefs.13,coefs.14,coefs.15,coefs.16,coefs.17,coefs.18,coefs.19,coefs.20
# Adaptation terminated
# Step size = 0.602977
# Diagonal elements of inverse mass matrix:
# 2.36352e-05, 1.80954e-05, 1.69604e-05, 1.98494e-05, 1.70371e-05, 1.87382e-05, 1.81899e-05, 1.88539e-05, 1.86597e-05, 2.10854e-05, 1.84943e-05, 1.86496e-05, 1.78352e-05, 1.71771e-05, 2.04252e-05, 1.76951e-05, 1.82298e-05, 1.74743e-05, 1.8975e-05, 1.96092e-05
-22.3411,0.996197,0.602977,1,1.00566,-0.00160782,0.504575,-0.000987343,-0.00162866,-0.00030279,-0.0019195,-0.0033455,-0.00307197,0.00111532,-0.00492834,-0.00678626,-0.00463123,0.000199783,-0.00582658,0.00475726,-0.00232863,0.00447759,-0.00456645,-0.000436278
-21.5974,0.932685,0.602977,1,1.00361,0.00118609,0.504173,-0.00202476,0.00323831,-0.00274841,0.000237747,0.00335423,0.000252964,0.00428164,-0.00261698,0.00467329,0.00150572,0.00661956,0.00150342,-0.00355599,0.0024532,0.00316396,0.00660682,-0.00483879
-23.1377,0.815922,0.602977,1,0.992073,-0.000502059,0.495719,0.00227418,0.00396609,0.000546375,0.000877649,-0.00418939,0.00198904,-0.00565697,0.00345189,-0.00137458,-0.00316916,-0.00527196,-0.00139925,0.00257333,-0.00496419,-0.00346426,-0.00742173,0.00154355
-20.5938,1,0.602977,1,1.0053,2.80509e-05,0.50407,0.000286303,-0.000870229,-0.000439603,-0.0036339,0.00400065,0.00309997,0.00579309,-0.00351489,0.00268681,0.00116394,0.00427421,0.0026602,-0.00261384,0.00236328,0.00247955,0.0061305,-0.00483302
-21.6128,0.706811,0.602977,1,1.00625,-0.00207525,0.498887,-0.00347346,0.00803909,0.00189905,-0.00381742,0.00442014,0.00426963,-0.00305392,-0.00152496,0.00164095,0.00107602,0.00557734,0.00217095,-0.00412376,0.00311791,-0.00135176,-0.00350278,0.000283416
-19.3445,1,0.602977,1,1.00699,0.00240919,0.498332,0.00288059,-0.00377038,-0.00132644,0.000230642,-0.000592139,-0.00368933,-0.00737879,-0.00275973,-0.00286158,-0.00231578,-0.00395473,0.0044561,-0.000679079,0.00129816,-0.000738825,0.0028662,-0.00326597
-17.9115,0.499595,0.602977,1,1.00911,0.000763931,0.498063,0.00126682,-0.00244489,-0.00136752,0.00419059,-0.00387595,0.000862819,-0.00166829,-0.000699664,-0.00246392,0.000614672,-0.00517127,0.00214938,-0.000435293,0.0022786,0.00242668,0.00133171,0.00574569
-18.7334,0.608029,0.602977,1,0.992312,0.000366503,0.499901,-0.00135865,-0.000286966,-0.00186404,-0.000761823,0.00383378,-0.00299256,-0.00285256,-0.00059557,0.00262075,0.000102955,0.00611522,-0.0024561,-0.00188407,-0.00313754,-0.00178471,-0.00174334,-0.00735465
-18.7334,0.384649,0.602977,1,0.992312,0.000366503,0.499901,-0.00135865,-0.000286966,-0.00186404,-0.000761823,0.00383378,-0.00299256,-0.00285256,-0.00059557,0.00262075,0.000102955,0.00611522,-0.0024561,-0.00188407,-0.00313754,-0.00178471,-0.00174334,-0.00735465
-24.8665,0.584474,0.602977,1,1.01801,0.000918325,0.498771,0.00387427,0.00154,-0.00149398,-0.00310581,-0.00317303,0.00397641,0.00250274,0.000613521,-0.00227796,-0.000822905,-0.00248975,0.00203352,-0.00129536,0.0015669,0.00264334,0.00293694,0.0072689
-29.0507,0.79484,0.602977,1,1.02109,0.000574162,0.500631,0.000831791,0.00511398,-0.00149077,0.00123379,-0.0061549,0.00107736,0.0037658,-0.00200812,0.00041245,-0.00168059,-0.00240519,0.00633482,0.000447744,0.0018074,0.00166389,0.00370788,0.00435927
-24.2033,1,0.602977,1,1.01616,0.00256558,0.503972,-0.00198697,0.00396731,-0.00277597,-0.000154131,-0.000583227,0.000230773,-9.61604e-05,0.000388498,0.00347145,-0.00111747,-0.00546492,0.00588989,0.00367805,0.000938606,-0.00028825,0.00257465,0.00469351
-17.1413,1,0.602977,1,1.00824,0.00218894,0.497126,0.00127425,0.000784152,-0.000262211,-0.00484545,0.00355016,0.00157763,0.000749658,-0.00275565,0.00264896,-0.00178251,0.00308804,0.00133132,-0.000212759,-0.00565375,0.000287803,-0.0029022,0.00150524
-17.1413,0.379384,0.602977,1,1.00824,0.00218894,0.497126,0.00127425,0.000784152,-0.000262211,-0.00484545,0.00355016,0.00157763,0.000749658,-0.00275565,0.00264896,-0.00178251,0.00308804,0.00133132,-0.000212759,-0.00565375,0.000287803,-0.0029022,0.00150524
-17.1413,0.396866,0.602977,1,1.00824,0.00218894,0.497126,0.00127425,0.000784152,-0.000262211,-0.00484545,0.00355016,0.00157763,0.000749658,-0.00275565,0.00264896,-0.00178251,0.00308804,0.00133132,-0.000212759,-0.00565375,0.000287803,-0.0029022,0.00150524
-15.3717,0.912195,0.602977,1,1.00158,-0.00189529,0.503076,-0.00235137,0.00119656,-0.00196114,0.00471959,-0.00264796,-2.25615e-05,-0.000446365,0.00131785,0.00145967,0.00255307,-0.00127112,0.000840389,0.00140227,0.0062975,0.00225283,0.00120794,-0.00311346
-19.5504,0.548332,0.602977,1,0.995308,0.00388755,0.500981,0.00290628,0.000235755,-0.00391497,-0.00208359,-0.00411404,-8.37938e-05,-0.00111562,0.00709462,0.00329017,0.00121869,0.00188092,-0.00195613,0.00449181,-0.00258844,0.00248908,0.00478546,0.00308139
-18.5909,1,0.602977,1,0.999916,-0.00422288,0.503434,0.0042129,0.00220577,0.00487441,-0.000207914,0.00359474,-0.00199389,0.00262078,-0.00262647,-0.000201691,0.00479225,0.000512375,-0.000484541,-0.00348263,0.00612204,0.00130448,-0.00106957,-0.00263557
-20.0837,0.696454,0.602977,1,1.00022,0.00273421,0.500188,-0.00555911,-0.00558318,-0.00577353,-0.00230487,-0.000477539,0.00182902,-0.00309405,0.00176466,-0.00164993,-0.00187045,0.00173369,-0.000531656,0.00170779,-0.00790458,0.00357625,0.00204018,0.00156252
-19.4103,0.7175,0.602977,1,1.00195,-0.00177946,0.500533,0.00754946,-0.000698016,0.00583007,0.00210414,-0.000219384,-0.00136311,0.00043366,0.00101203,0.0055786,0.00298668,-0.00261704,-0.00105924,0.00234199,0.00496293,1.11043e-05,-0.00261139,-0.00409409
-21.2846,0.830048,0.602977,1,1.00513,0.00171468,0.500514,0.004921,-5.50205e-05,0.00506251,-0.000480509,-0.00471783,-0.00186065,8.15356e-05,-0.00235555,0.00278607,0.0013043,-0.00616374,0.00233628,0.00615468,0.00106206,0.00246829,-0.0024847,-0.00643099
-19.9621,1,0.602977,1,0.996977,-0.000528334,0.495871,-0.0057841,-0.00159841,-0.0052961,0.00234658,0.00819252,0.000586661,0.000102364,-0.00142059,-0.00201302,0.00135254,0.00088662,-0.000985456,-0.00500157,-0.000258501,-1.79221e-05,0.00181504,0.00443417
-25.1052,0.411817,0.602977,1,1.00389,0.00273724,0.500919,0.00467819,-0.000184663,0.00735345,-0.00131181,-0.00763704,-0.00226806,0.00154275,-5.45576e-06,0.0039278,0.00318531,0.000125399,-0.00153017,0.00994992,-0.00218839,-0.00261684,-0.00129844,-0.00448299
